date,queue,language,checkpoint,actual_so_far,model_so_far,pace_ratio,remaining_model_forecast,adjusted_full_day_forecast,confidence_label
2026-01-01,Sales,FR,12:00,16.0,16.07,0.9955,31.69,47.55,High
2026-01-01,Sales,FR,14:00,21.0,21.95,0.9566,25.81,45.69,High
2026-01-01,Sales,FR,16:00,35.0,30.81,1.1359,16.95,54.25,High
2026-01-01,Sales,IT,10:00,8.0,7.54,1.0614,37.95,48.28,High
2026-01-01,Sales,IT,12:00,16.0,17.17,0.9318,28.32,42.38,High
2026-01-01,Sales,IT,14:00,26.0,24.15,1.0767,21.34,48.97,High
2026-01-01,Sales,IT,16:00,39.0,32.31,1.207,13.18,54.9,Medium
2026-01-02,Customer Service,DE,10:00,49.0,28.64,1.7111,154.38,272.85,Low
2026-01-02,Customer Service,DE,12:00,122.0,61.35,1.9886,121.67,298.42,Low
2026-01-02,Customer Service,DE,14:00,165.0,89.38,1.846,93.64,300.77,Low
2026-01-02,Customer Service,DE,16:00,229.0,121.83,1.8796,61.18,317.72,Low
2026-01-02,Customer Service,EN,10:00,14.0,8.49,1.6486,48.1,83.75,Low
2026-01-02,Customer Service,EN,12:00,31.0,20.35,1.5236,36.25,83.56,Low
2026-01-02,Customer Service,EN,14:00,49.0,28.88,1.6968,27.72,89.19,Low
2026-01-02,Customer Service,EN,16:00,61.0,38.22,1.5959,18.37,87.64,Low
2026-01-02,Customer Service,FR,10:00,19.0,14.12,1.3458,63.38,104.3,Low
2026-01-02,Customer Service,FR,12:00,31.0,29.43,1.0533,48.07,81.64,High
2026-01-02,Customer Service,FR,14:00,45.0,39.81,1.1304,37.69,87.61,High
2026-01-02,Customer Service,FR,16:00,60.0,53.83,1.1147,23.67,86.39,High
2026-01-02,Customer Service,IT,10:00,17.0,10.16,1.6736,56.91,99.51,Low
2026-01-02,Customer Service,IT,12:00,34.0,22.2,1.5317,44.87,99.06,Low
2026-01-02,Customer Service,IT,14:00,55.0,33.52,1.6408,33.54,103.64,Low
2026-01-02,Customer Service,IT,16:00,66.0,46.15,1.4301,20.91,95.91,Low
2026-01-02,Sales,DE,10:00,31.0,19.98,1.5512,95.92,170.09,Low
2026-01-02,Sales,DE,12:00,68.0,39.16,1.7365,76.75,179.29,Low
2026-01-02,Sales,DE,14:00,84.0,59.36,1.4151,56.55,164.02,Low
2026-01-02,Sales,DE,16:00,113.0,78.76,1.4347,37.15,166.29,Low
2026-01-02,Sales,EN,10:00,7.0,5.38,1.3016,25.68,40.42,Low
2026-01-02,Sales,EN,12:00,15.0,10.78,1.3912,20.27,43.2,Low
2026-01-02,Sales,EN,14:00,28.0,15.81,1.7706,15.24,50.1,Low
2026-01-02,Sales,EN,16:00,39.0,20.91,1.865,10.14,53.71,Low
2026-01-02,Sales,FR,10:00,12.0,7.44,1.6118,36.16,64.42,Low
2026-01-02,Sales,FR,12:00,25.0,16.34,1.5303,27.26,64.53,Low
2026-01-02,Sales,FR,14:00,31.0,22.38,1.385,21.22,60.39,Low
2026-01-02,Sales,FR,16:00,40.0,29.8,1.3424,13.8,58.53,Low
2026-01-02,Sales,IT,10:00,12.0,6.97,1.7207,36.25,64.56,Low
2026-01-02,Sales,IT,12:00,21.0,15.75,1.3335,27.47,57.64,Low
2026-01-02,Sales,IT,14:00,26.0,21.95,1.1846,21.27,51.2,Medium
2026-01-02,Sales,IT,16:00,33.0,29.22,1.1294,14.0,48.81,High
2026-01-05,Customer Service,DE,10:00,83.0,44.31,1.8733,231.8,419.1,Low
2026-01-05,Customer Service,DE,12:00,173.0,91.41,1.8925,184.69,440.8,Low
2026-01-05,Customer Service,DE,14:00,239.0,136.18,1.755,139.92,441.88,Low
2026-01-05,Customer Service,DE,16:00,326.0,190.14,1.7146,85.96,450.65,Low
2026-01-05,Customer Service,EN,10:00,24.0,14.24,1.686,66.6,120.57,Low
2026-01-05,Customer Service,EN,12:00,45.0,26.84,1.6765,53.99,123.29,Low
2026-01-05,Customer Service,EN,14:00,58.0,40.66,1.4265,40.17,115.31,Low
2026-01-05,Customer Service,EN,16:00,76.0,55.42,1.3712,25.41,110.84,Low
2026-01-05,Customer Service,FR,10:00,20.0,21.6,0.9259,98.74,111.42,High
2026-01-05,Customer Service,FR,12:00,46.0,43.39,1.0602,76.95,127.59,High
2026-01-05,Customer Service,FR,14:00,57.0,60.56,0.9412,59.78,113.26,High
2026-01-05,Customer Service,FR,16:00,80.0,80.74,0.9909,39.6,119.24,High
2026-01-05,Customer Service,IT,10:00,22.0,15.88,1.3851,91.42,148.62,Low
2026-01-05,Customer Service,IT,12:00,50.0,31.99,1.5631,75.31,159.2,Low
2026-01-05,Customer Service,IT,14:00,70.0,48.54,1.4421,58.76,154.73,Low
2026-01-05,Customer Service,IT,16:00,92.0,69.06,1.3321,38.24,142.93,Low
2026-01-05,Sales,DE,10:00,39.0,22.2,1.757,118.85,211.33,Low
2026-01-05,Sales,DE,12:00,82.0,46.43,1.7661,94.62,219.19,Low
2026-01-05,Sales,DE,14:00,104.0,69.74,1.4912,71.31,207.39,Low
2026-01-05,Sales,DE,16:00,154.0,92.48,1.6652,48.56,224.42,Low
2026-01-05,Sales,EN,10:00,13.0,8.46,1.537,38.04,68.16,Low
2026-01-05,Sales,EN,12:00,21.0,15.83,1.3267,30.67,61.69,Low
2026-01-05,Sales,EN,14:00,29.0,23.52,1.2333,22.98,57.35,Medium
2026-01-05,Sales,EN,16:00,40.0,31.07,1.2875,15.43,59.87,Medium
2026-01-05,Sales,FR,10:00,10.0,10.43,0.9586,50.38,58.29,High
2026-01-05,Sales,FR,12:00,16.0,20.01,0.7995,40.8,48.62,Medium
2026-01-05,Sales,FR,14:00,23.0,29.77,0.7726,31.04,46.98,Medium
2026-01-05,Sales,FR,16:00,34.0,40.32,0.8432,20.49,51.28,Medium
2026-01-05,Sales,IT,10:00,14.0,9.92,1.4113,47.23,80.66,Low
2026-01-05,Sales,IT,12:00,26.0,20.43,1.2729,36.73,72.75,Medium
2026-01-05,Sales,IT,14:00,37.0,28.74,1.2875,28.42,73.59,Medium
2026-01-05,Sales,IT,16:00,50.0,37.16,1.3455,19.99,76.9,Low
2026-01-06,Customer Service,DE,10:00,62.0,43.53,1.4242,232.35,392.92,Low
2026-01-06,Customer Service,DE,12:00,153.0,93.09,1.6436,182.79,418.05,Low
2026-01-06,Customer Service,DE,14:00,198.0,138.04,1.4344,137.85,395.73,Low
2026-01-06,Customer Service,DE,16:00,263.0,184.3,1.4271,91.59,393.7,Low
2026-01-06,Customer Service,EN,10:00,17.0,12.0,1.4164,57.22,98.05,Low
2026-01-06,Customer Service,EN,12:00,33.0,24.04,1.3728,45.18,95.02,Low
2026-01-06,Customer Service,EN,14:00,45.0,34.97,1.287,34.25,89.08,Medium
2026-01-06,Customer Service,EN,16:00,60.0,46.09,1.3018,23.13,90.11,Low
2026-01-06,Customer Service,FR,10:00,24.0,16.65,1.4414,84.29,145.49,Low
2026-01-06,Customer Service,FR,12:00,44.0,34.82,1.2638,66.12,127.57,Medium
2026-01-06,Customer Service,FR,14:00,68.0,51.59,1.3181,49.35,133.06,Low
2026-01-06,Customer Service,FR,16:00,91.0,68.05,1.3372,32.89,134.98,Low
2026-01-06,Customer Service,IT,10:00,24.0,16.64,1.4421,72.46,128.49,Low
2026-01-06,Customer Service,IT,12:00,46.0,30.14,1.5261,58.95,131.48,Low
2026-01-06,Customer Service,IT,14:00,61.0,43.85,1.391,45.24,123.94,Low
2026-01-06,Customer Service,IT,16:00,80.0,59.81,1.3375,29.28,119.17,Low
2026-01-06,Sales,DE,10:00,35.0,24.13,1.4507,116.31,203.65,Low
2026-01-06,Sales,DE,12:00,76.0,43.19,1.7598,97.25,217.01,Low
2026-01-06,Sales,DE,14:00,101.0,65.52,1.5416,74.92,209.63,Low
2026-01-06,Sales,DE,16:00,142.0,89.98,1.5782,50.46,215.17,Low
2026-01-06,Sales,EN,10:00,11.0,6.62,1.6606,33.15,59.07,Low
2026-01-06,Sales,EN,12:00,24.0,12.94,1.854,26.83,62.9,Low
2026-01-06,Sales,EN,14:00,35.0,19.02,1.8401,20.76,65.09,Low
2026-01-06,Sales,EN,16:00,46.0,26.15,1.7591,13.63,65.76,Low
2026-01-06,Sales,FR,10:00,5.0,8.91,0.5615,45.56,34.61,Low
2026-01-06,Sales,FR,12:00,14.0,17.68,0.7918,36.78,43.12,Medium
2026-01-06,Sales,FR,14:00,24.0,25.02,0.9592,29.44,52.24,High
2026-01-06,Sales,FR,16:00,33.0,36.0,0.9167,18.46,49.92,High
2026-01-06,Sales,IT,10:00,11.0,9.82,1.1207,40.79,56.72,High
2026-01-06,Sales,IT,12:00,20.0,18.11,1.1042,32.5,55.88,High
2026-01-06,Sales,IT,14:00,28.0,25.25,1.1088,25.36,56.12,High
2026-01-06,Sales,IT,16:00,38.0,35.33,1.0755,15.27,54.43,High
2026-01-07,Customer Service,DE,10:00,64.0,34.51,1.8544,177.93,322.0,Low
2026-01-07,Customer Service,DE,12:00,141.0,71.5,1.9719,140.94,345.36,Low
2026-01-07,Customer Service,DE,14:00,197.0,104.37,1.8874,108.07,353.7,Low
2026-01-07,Customer Service,DE,16:00,259.0,142.67,1.8154,69.78,360.18,Low
2026-01-07,Customer Service,EN,10:00,19.0,10.54,1.8025,57.2,101.93,Low
2026-01-07,Customer Service,EN,12:00,41.0,23.08,1.7767,44.66,105.76,Low
2026-01-07,Customer Service,EN,14:00,52.0,35.14,1.4797,32.59,99.26,Low
2026-01-07,Customer Service,EN,16:00,66.0,45.22,1.4595,22.52,98.65,Low
2026-01-07,Customer Service,FR,10:00,18.0,16.04,1.1223,73.71,100.72,High
2026-01-07,Customer Service,FR,12:00,42.0,29.76,1.4111,59.98,126.64,Low
2026-01-07,Customer Service,FR,14:00,63.0,43.98,1.4323,45.76,128.55,Low
2026-01-07,Customer Service,FR,16:00,75.0,61.13,1.2269,28.62,110.11,Medium
2026-01-07,Customer Service,IT,10:00,18.0,13.69,1.3148,71.64,112.19,Low
2026-01-07,Customer Service,IT,12:00,38.0,29.92,1.2702,55.41,108.38,Medium
2026-01-07,Customer Service,IT,14:00,53.0,44.15,1.2003,41.17,102.42,Medium
2026-01-07,Customer Service,IT,16:00,76.0,58.4,1.3013,26.93,111.04,Low
2026-01-07,Sales,DE,10:00,29.0,20.49,1.4153,101.58,172.76,Low
2026-01-07,Sales,DE,12:00,81.0,41.22,1.9649,80.84,198.22,Low
2026-01-07,Sales,DE,14:00,114.0,62.47,1.8248,59.59,200.41,Low
2026-01-07,Sales,DE,16:00,159.0,83.23,1.9103,38.83,215.31,Low
2026-01-07,Sales,EN,10:00,9.0,5.56,1.6178,29.85,52.28,Low
2026-01-07,Sales,EN,12:00,12.0,11.82,1.0157,23.6,35.97,High
2026-01-07,Sales,EN,14:00,18.0,17.44,1.0319,17.97,36.54,High
2026-01-07,Sales,EN,16:00,26.0,23.78,1.0934,11.63,38.72,High
2026-01-07,Sales,FR,10:00,11.0,9.92,1.109,44.84,60.73,High
2026-01-07,Sales,FR,12:00,23.0,18.9,1.2167,35.86,66.63,Medium
2026-01-07,Sales,FR,14:00,29.0,28.22,1.0275,26.54,56.27,High
2026-01-07,Sales,FR,16:00,40.0,37.62,1.0632,17.14,58.23,High
2026-01-07,Sales,IT,10:00,13.0,7.92,1.6418,40.94,72.37,Low
2026-01-07,Sales,IT,12:00,21.0,17.42,1.2056,31.44,58.91,Medium
2026-01-07,Sales,IT,14:00,27.0,24.14,1.1186,24.72,54.66,High
2026-01-07,Sales,IT,16:00,35.0,32.9,1.064,15.97,51.99,High
2026-01-08,Customer Service,DE,10:00,57.0,39.09,1.4582,170.04,303.55,Low
2026-01-08,Customer Service,DE,12:00,134.0,77.28,1.7341,131.85,325.18,Low
2026-01-08,Customer Service,DE,14:00,162.0,110.32,1.4684,98.8,305.26,Low
2026-01-08,Customer Service,DE,16:00,220.0,141.62,1.5535,67.51,317.89,Low
2026-01-08,Customer Service,EN,10:00,21.0,10.19,2.0608,49.52,92.81,Low
2026-01-08,Customer Service,EN,12:00,45.0,19.5,2.3078,40.22,103.31,Low
2026-01-08,Customer Service,EN,14:00,62.0,29.39,2.1093,30.32,105.97,Low
2026-01-08,Customer Service,EN,16:00,76.0,39.99,1.9005,19.73,104.6,Low
2026-01-08,Customer Service,FR,10:00,13.0,13.57,0.9579,70.0,80.05,High
2026-01-08,Customer Service,FR,12:00,31.0,29.35,1.0564,54.22,88.28,High
2026-01-08,Customer Service,FR,14:00,49.0,41.82,1.1717,41.75,97.92,Medium
2026-01-08,Customer Service,FR,16:00,71.0,55.92,1.2696,27.65,106.1,Medium
2026-01-08,Customer Service,IT,10:00,16.0,12.34,1.2961,69.65,106.27,Medium
2026-01-08,Customer Service,IT,12:00,31.0,26.97,1.1495,55.03,94.25,High
2026-01-08,Customer Service,IT,14:00,45.0,39.25,1.1464,42.74,94.0,High
2026-01-08,Customer Service,IT,16:00,66.0,52.79,1.2503,29.21,102.52,Medium
2026-01-08,Sales,DE,10:00,24.0,21.06,1.1396,95.57,132.92,High
2026-01-08,Sales,DE,12:00,66.0,40.54,1.6278,76.09,176.33,Low
2026-01-08,Sales,DE,14:00,97.0,58.66,1.6535,57.97,181.06,Low
2026-01-08,Sales,DE,16:00,128.0,78.36,1.6336,38.28,183.5,Low
2026-01-08,Sales,EN,10:00,4.0,5.61,0.7125,26.71,23.03,Low
2026-01-08,Sales,EN,12:00,16.0,10.94,1.462,21.38,47.01,Low
2026-01-08,Sales,EN,14:00,28.0,16.34,1.7135,15.99,51.18,Low
2026-01-08,Sales,EN,16:00,35.0,21.72,1.6118,10.61,50.39,Low
2026-01-08,Sales,FR,10:00,12.0,8.57,1.4004,40.71,69.01,Low
2026-01-08,Sales,FR,12:00,28.0,15.97,1.7532,33.31,76.3,Low
2026-01-08,Sales,FR,14:00,41.0,24.35,1.6837,24.93,77.15,Low
2026-01-08,Sales,FR,16:00,52.0,33.81,1.5379,15.47,74.43,Low
2026-01-08,Sales,IT,10:00,9.0,6.62,1.3599,37.62,60.16,Low
2026-01-08,Sales,IT,12:00,16.0,14.34,1.1155,29.89,49.35,High
2026-01-08,Sales,IT,14:00,20.0,20.45,0.9779,23.78,43.26,High
2026-01-08,Sales,IT,16:00,31.0,27.28,1.1362,16.95,50.26,High
2026-01-09,Customer Service,DE,10:00,47.0,37.85,1.2419,173.52,262.49,Medium
2026-01-09,Customer Service,DE,12:00,104.0,71.22,1.4602,140.14,307.21,Low
2026-01-09,Customer Service,DE,14:00,152.0,106.1,1.4325,105.26,302.8,Low
2026-01-09,Customer Service,DE,16:00,214.0,139.4,1.5351,71.97,318.35,Low
2026-01-09,Customer Service,EN,10:00,16.0,8.65,1.8489,47.26,84.53,Low
2026-01-09,Customer Service,EN,12:00,35.0,18.68,1.8742,37.24,89.0,Low
2026-01-09,Customer Service,EN,14:00,43.0,28.08,1.5313,27.84,83.36,Low
2026-01-09,Customer Service,EN,16:00,59.0,37.84,1.5591,18.08,85.21,Low
2026-01-09,Customer Service,FR,10:00,16.0,14.37,1.1133,58.69,81.34,High
2026-01-09,Customer Service,FR,12:00,38.0,26.99,1.4078,46.07,102.86,Low
2026-01-09,Customer Service,FR,14:00,58.0,36.78,1.5768,36.28,110.6,Low
2026-01-09,Customer Service,FR,16:00,76.0,49.41,1.538,23.65,110.29,Low
2026-01-09,Customer Service,IT,10:00,18.0,11.96,1.5045,60.17,105.24,Low
2026-01-09,Customer Service,IT,12:00,33.0,25.56,1.2909,46.57,93.12,Medium
2026-01-09,Customer Service,IT,14:00,46.0,34.63,1.3283,37.5,95.81,Low
2026-01-09,Customer Service,IT,16:00,65.0,45.49,1.4288,26.64,103.06,Low
2026-01-09,Sales,DE,10:00,30.0,19.69,1.5236,92.33,163.88,Low
2026-01-09,Sales,DE,12:00,74.0,36.61,2.0215,75.41,183.35,Low
2026-01-09,Sales,DE,14:00,95.0,56.42,1.6839,55.6,175.62,Low
2026-01-09,Sales,DE,16:00,116.0,75.29,1.5407,36.73,169.26,Low
2026-01-09,Sales,EN,10:00,6.0,5.88,1.0204,26.47,33.01,High
2026-01-09,Sales,EN,12:00,18.0,11.03,1.6313,21.32,48.91,Low
2026-01-09,Sales,EN,14:00,22.0,16.05,1.3708,16.3,44.35,Low
2026-01-09,Sales,EN,16:00,30.0,21.6,1.3892,10.76,44.95,Low
2026-01-09,Sales,FR,10:00,13.0,9.43,1.3783,36.42,63.2,Low
2026-01-09,Sales,FR,12:00,23.0,16.35,1.4066,29.5,64.49,Low
2026-01-09,Sales,FR,14:00,31.0,22.84,1.3575,23.02,62.25,Low
2026-01-09,Sales,FR,16:00,36.0,30.47,1.1814,15.38,54.17,Medium
2026-01-09,Sales,IT,10:00,7.0,7.29,0.9598,34.17,39.8,High
2026-01-09,Sales,IT,12:00,14.0,13.19,1.0611,28.27,44.0,High
2026-01-09,Sales,IT,14:00,18.0,19.8,0.9093,21.67,37.7,High
2026-01-09,Sales,IT,16:00,29.0,26.91,1.0778,14.56,44.69,High
2026-01-10,Customer Service,DE,10:00,35.0,24.58,1.4237,129.16,218.89,Low
2026-01-10,Customer Service,DE,12:00,71.0,49.22,1.4425,104.52,221.78,Low
2026-01-10,Customer Service,DE,14:00,106.0,75.02,1.4129,78.72,217.22,Low
2026-01-10,Customer Service,DE,16:00,147.0,99.05,1.4841,54.69,226.3,Low
2026-01-10,Customer Service,EN,10:00,5.0,6.88,0.7272,31.84,28.16,Low
2026-01-10,Customer Service,EN,12:00,16.0,13.42,1.1927,25.3,46.18,Medium
2026-01-10,Customer Service,EN,14:00,24.0,20.0,1.1999,18.72,46.46,Medium
2026-01-10,Customer Service,EN,16:00,37.0,26.18,1.4133,12.54,54.72,Low
2026-01-10,Customer Service,FR,10:00,8.0,10.3,0.7768,38.1,37.59,Medium
2026-01-10,Customer Service,FR,12:00,23.0,17.19,1.3384,31.21,64.77,Low
2026-01-10,Customer Service,FR,14:00,34.0,24.4,1.3933,23.99,67.43,Low
2026-01-10,Customer Service,FR,16:00,48.0,33.07,1.4513,15.32,70.21,Low
2026-01-10,Customer Service,IT,10:00,11.0,7.31,1.5052,42.66,72.85,Low
2026-01-10,Customer Service,IT,12:00,20.0,17.49,1.1438,32.48,57.15,High
2026-01-10,Customer Service,IT,14:00,29.0,25.04,1.158,24.92,57.86,Medium
2026-01-10,Customer Service,IT,16:00,37.0,34.05,1.0866,15.91,54.29,High
2026-01-10,Sales,DE,10:00,18.0,16.38,1.0991,77.34,103.01,High
2026-01-10,Sales,DE,12:00,42.0,31.8,1.321,61.92,123.8,Low
2026-01-10,Sales,DE,14:00,54.0,47.31,1.1415,46.41,106.98,High
2026-01-10,Sales,DE,16:00,71.0,62.65,1.1332,31.06,106.2,High
2026-01-10,Sales,EN,10:00,7.0,4.12,1.6974,20.23,36.34,Low
2026-01-10,Sales,EN,12:00,13.0,8.21,1.5838,16.15,36.41,Low
2026-01-10,Sales,EN,14:00,14.0,12.24,1.144,12.12,27.86,High
2026-01-10,Sales,EN,16:00,21.0,16.35,1.2841,8.0,31.28,Medium
2026-01-10,Sales,FR,10:00,3.0,4.83,0.6211,24.94,19.21,Low
2026-01-10,Sales,FR,12:00,7.0,9.26,0.7559,20.51,22.5,Medium
2026-01-10,Sales,FR,14:00,9.0,13.48,0.6677,16.29,19.88,Low
2026-01-10,Sales,FR,16:00,16.0,18.9,0.8467,10.87,25.21,Medium
2026-01-10,Sales,IT,10:00,3.0,4.55,0.6588,23.45,18.45,Low
2026-01-10,Sales,IT,12:00,8.0,9.69,0.8258,18.32,23.13,Medium
2026-01-10,Sales,IT,14:00,13.0,14.42,0.9018,13.59,25.25,High
2026-01-10,Sales,IT,16:00,20.0,18.9,1.058,9.1,29.63,High
2026-01-12,Customer Service,DE,10:00,76.0,43.87,1.7323,230.9,410.8,Low
2026-01-12,Customer Service,DE,12:00,165.0,91.4,1.8053,183.37,430.89,Low
2026-01-12,Customer Service,DE,14:00,212.0,138.83,1.527,135.94,409.11,Low
2026-01-12,Customer Service,DE,16:00,293.0,183.62,1.5956,91.15,425.16,Low
2026-01-12,Customer Service,EN,10:00,13.0,13.14,0.9892,66.54,78.82,High
2026-01-12,Customer Service,EN,12:00,37.0,28.75,1.2868,50.93,102.54,Medium
2026-01-12,Customer Service,EN,14:00,56.0,41.99,1.3336,37.69,106.27,Low
2026-01-12,Customer Service,EN,16:00,86.0,52.89,1.6259,26.79,124.85,Low
2026-01-12,Customer Service,FR,10:00,22.0,16.68,1.3189,93.63,145.5,Low
2026-01-12,Customer Service,FR,12:00,53.0,37.92,1.3978,72.4,154.2,Low
2026-01-12,Customer Service,FR,14:00,75.0,55.06,1.3621,55.25,150.26,Low
2026-01-12,Customer Service,FR,16:00,112.0,77.03,1.454,33.28,160.26,Low
2026-01-12,Customer Service,IT,10:00,21.0,18.62,1.1277,86.94,119.04,High
2026-01-12,Customer Service,IT,12:00,48.0,38.17,1.2575,67.39,132.74,Medium
2026-01-12,Customer Service,IT,14:00,67.0,52.25,1.2824,53.32,135.37,Medium
2026-01-12,Customer Service,IT,16:00,96.0,70.88,1.3545,34.69,142.99,Low
2026-01-12,Sales,DE,10:00,43.0,23.04,1.8664,120.82,218.19,Low
2026-01-12,Sales,DE,12:00,83.0,48.28,1.7192,95.58,221.59,Low
2026-01-12,Sales,DE,14:00,111.0,71.52,1.552,72.34,215.89,Low
2026-01-12,Sales,DE,16:00,189.0,95.94,1.9699,47.91,258.48,Low
2026-01-12,Sales,EN,10:00,9.0,8.17,1.1017,39.89,52.94,High
2026-01-12,Sales,EN,12:00,21.0,16.54,1.2699,31.52,61.03,Medium
2026-01-12,Sales,EN,14:00,30.0,24.14,1.2429,23.92,59.73,Medium
2026-01-12,Sales,EN,16:00,46.0,32.43,1.4184,15.62,68.16,Low
2026-01-12,Sales,FR,10:00,13.0,9.3,1.3974,52.74,86.7,Low
2026-01-12,Sales,FR,12:00,29.0,21.58,1.3441,40.47,83.39,Low
2026-01-12,Sales,FR,14:00,34.0,29.72,1.1438,32.32,70.97,High
2026-01-12,Sales,FR,16:00,54.0,39.66,1.3614,22.38,84.47,Low
2026-01-12,Sales,IT,10:00,5.0,8.37,0.5977,52.73,39.28,Low
2026-01-12,Sales,IT,12:00,20.0,20.41,0.98,40.69,59.88,High
2026-01-12,Sales,IT,14:00,33.0,30.32,1.0885,30.78,66.5,High
2026-01-12,Sales,IT,16:00,44.0,40.71,1.0809,20.39,66.04,High
2026-01-13,Customer Service,DE,10:00,68.0,45.51,1.494,236.44,410.84,Low
2026-01-13,Customer Service,DE,12:00,142.0,93.88,1.5125,188.07,414.7,Low
2026-01-13,Customer Service,DE,14:00,196.0,139.33,1.4067,142.62,396.63,Low
2026-01-13,Customer Service,DE,16:00,279.0,188.42,1.4808,93.54,414.63,Low
2026-01-13,Customer Service,EN,10:00,23.0,12.75,1.8041,59.59,109.4,Low
2026-01-13,Customer Service,EN,12:00,44.0,24.37,1.8056,47.97,113.56,Low
2026-01-13,Customer Service,EN,14:00,63.0,36.67,1.7179,35.67,114.71,Low
2026-01-13,Customer Service,EN,16:00,95.0,48.69,1.9513,23.65,129.29,Low
2026-01-13,Customer Service,FR,10:00,23.0,16.56,1.3889,79.79,133.81,Low
2026-01-13,Customer Service,FR,12:00,44.0,35.51,1.239,60.83,119.37,Medium
2026-01-13,Customer Service,FR,14:00,58.0,51.97,1.116,44.37,107.52,High
2026-01-13,Customer Service,FR,16:00,72.0,67.83,1.0614,28.51,102.26,High
2026-01-13,Customer Service,IT,10:00,25.0,17.71,1.4116,75.42,131.46,Low
2026-01-13,Customer Service,IT,12:00,51.0,34.93,1.4601,58.2,135.39,Low
2026-01-13,Customer Service,IT,14:00,72.0,49.14,1.4652,43.99,135.78,Low
2026-01-13,Customer Service,IT,16:00,93.0,64.15,1.4497,28.98,135.01,Low
2026-01-13,Sales,DE,10:00,40.0,24.51,1.6319,116.54,208.98,Low
2026-01-13,Sales,DE,12:00,69.0,47.82,1.443,93.23,203.53,Low
2026-01-13,Sales,DE,14:00,97.0,68.98,1.4061,72.07,198.34,Low
2026-01-13,Sales,DE,16:00,128.0,91.79,1.3945,49.26,196.69,Low
2026-01-13,Sales,EN,10:00,8.0,6.98,1.1458,33.44,46.32,High
2026-01-13,Sales,EN,12:00,17.0,14.0,1.2141,26.42,49.08,Medium
2026-01-13,Sales,EN,14:00,23.0,20.14,1.1418,20.28,46.16,High
2026-01-13,Sales,EN,16:00,38.0,26.47,1.4358,13.95,58.04,Low
2026-01-13,Sales,FR,10:00,13.0,10.12,1.2845,47.94,74.58,Medium
2026-01-13,Sales,FR,12:00,29.0,20.87,1.3893,37.19,80.67,Low
2026-01-13,Sales,FR,14:00,40.0,28.06,1.4255,30.01,82.77,Low
2026-01-13,Sales,FR,16:00,50.0,38.07,1.3133,19.99,76.26,Low
2026-01-13,Sales,IT,10:00,14.0,8.73,1.6046,41.2,73.74,Low
2026-01-13,Sales,IT,12:00,25.0,17.29,1.4456,32.63,72.17,Low
2026-01-13,Sales,IT,14:00,35.0,25.91,1.3507,24.02,67.44,Low
2026-01-13,Sales,IT,16:00,45.0,34.67,1.298,15.26,64.8,Medium
2026-01-14,Customer Service,DE,10:00,61.0,33.99,1.7947,187.39,332.71,Low
2026-01-14,Customer Service,DE,12:00,145.0,71.17,2.0373,150.2,362.8,Low
2026-01-14,Customer Service,DE,14:00,200.0,110.16,1.8155,111.22,361.26,Low
