date,interval_start,queue,language,actual_calls,model_forecast_calls,partner_forecast_calls,staffing_gap_agents,event_types,alert_type,severity,score,message
2026-02-02,08:45,Customer Service,DE,10.0,11.924,18.667,-7.735,billing_cycle,understaffing_risk,high,7.735,Required staffing exceeds available capacity.
2026-03-03,10:45,Sales,DE,5.0,5.199,43.561,0.215,,partner_forecast_deviation,high,7.7122,Partner forecast deviated materially from actual offered calls.
2026-02-09,09:30,Sales,DE,2.0,4.839,17.136,-1.586,,partner_forecast_deviation,high,7.568,Partner forecast deviated materially from actual offered calls.
2026-03-03,08:15,Customer Service,DE,14.0,11.31,11.302,-7.517,holiday_rebound,understaffing_risk,high,7.517,Required staffing exceeds available capacity.
2026-02-02,08:30,Customer Service,DE,6.0,11.53,11.862,-7.512,billing_cycle,understaffing_risk,high,7.512,Required staffing exceeds available capacity.
2026-03-03,10:15,Customer Service,DE,18.0,12.791,12.599,-7.49,holiday_rebound,understaffing_risk,high,7.49,Required staffing exceeds available capacity.
2026-05-14,17:30,Customer Service,DE,2.0,7.5,16.911,-1.765,,partner_forecast_deviation,high,7.4555,Partner forecast deviated materially from actual offered calls.
2026-05-05,11:30,Customer Service,DE,4.0,9.22,33.487,-2.83,,partner_forecast_deviation,high,7.3718,Partner forecast deviated materially from actual offered calls.
2026-03-03,13:00,Customer Service,DE,8.0,11.195,12.066,-7.355,holiday_rebound,understaffing_risk,high,7.355,Required staffing exceeds available capacity.
2026-03-06,10:30,Sales,DE,2.0,4.544,16.654,0.56,,partner_forecast_deviation,high,7.327,Partner forecast deviated materially from actual offered calls.
2026-03-12,16:30,Sales,DE,2.0,5.098,16.574,0.275,,partner_forecast_deviation,high,7.287,Partner forecast deviated materially from actual offered calls.
2026-02-02,15:45,Customer Service,DE,4.0,12.6,14.014,-7.249,billing_cycle,understaffing_risk,high,7.249,Required staffing exceeds available capacity.
2026-02-02,10:30,Customer Service,DE,14.0,12.463,12.755,-7.223,billing_cycle,understaffing_risk,high,7.223,Required staffing exceeds available capacity.
2026-05-07,08:30,Customer Service,DE,2.0,7.033,16.215,-2.453,,partner_forecast_deviation,high,7.1075,Partner forecast deviated materially from actual offered calls.
2026-03-03,15:45,Customer Service,DE,15.0,12.179,11.8,-7.095,holiday_rebound,understaffing_risk,high,7.095,Required staffing exceeds available capacity.
2026-03-09,16:45,Customer Service,IT,2.0,4.721,16.08,0.811,,partner_forecast_deviation,high,7.04,Partner forecast deviated materially from actual offered calls.
2026-06-01,10:00,Customer Service,DE,15.0,10.577,8.711,-7.034,billing_cycle,understaffing_risk,high,7.034,Required staffing exceeds available capacity.
2026-05-11,09:30,Customer Service,FR,3.0,5.081,23.632,-1.475,,partner_forecast_deviation,high,6.8773,Partner forecast deviated materially from actual offered calls.
2026-06-08,18:15,Customer Service,DE,9.0,10.461,9.878,-6.844,,understaffing_risk,high,6.844,Required staffing exceeds available capacity.
2026-05-11,16:00,Customer Service,IT,2.0,3.775,15.626,1.245,,partner_forecast_deviation,high,6.813,Partner forecast deviated materially from actual offered calls.
2026-02-02,10:00,Customer Service,DE,6.0,11.887,14.405,-6.793,billing_cycle,understaffing_risk,high,6.793,Required staffing exceeds available capacity.
2026-05-14,08:30,Customer Service,DE,2.0,7.5,15.529,-4.771,,partner_forecast_deviation,high,6.7645,Partner forecast deviated materially from actual offered calls.
2026-03-03,09:00,Customer Service,DE,12.0,11.714,21.019,-6.758,holiday_rebound,understaffing_risk,high,6.758,Required staffing exceeds available capacity.
2026-05-14,17:45,Customer Service,DE,4.0,7.43,30.925,-1.718,,partner_forecast_deviation,high,6.7313,Partner forecast deviated materially from actual offered calls.
2026-02-02,16:15,Customer Service,DE,8.0,11.814,34.095,-6.694,billing_cycle,understaffing_risk,high,6.694,Required staffing exceeds available capacity.
2026-03-03,09:15,Customer Service,DE,14.0,11.511,11.361,-6.651,holiday_rebound,understaffing_risk,high,6.651,Required staffing exceeds available capacity.
2026-03-03,15:00,Customer Service,DE,9.0,11.495,13.507,-6.64,holiday_rebound,understaffing_risk,high,6.64,Required staffing exceeds available capacity.
2026-05-12,10:30,Customer Service,FR,2.0,5.459,15.242,-1.674,,partner_forecast_deviation,high,6.621,Partner forecast deviated materially from actual offered calls.
2026-02-11,13:45,Customer Service,DE,3.0,6.34,22.788,-1.013,,partner_forecast_deviation,high,6.596,Partner forecast deviated materially from actual offered calls.
2026-02-02,15:30,Customer Service,DE,11.0,11.559,12.288,-6.573,billing_cycle,understaffing_risk,high,6.573,Required staffing exceeds available capacity.
2026-03-03,16:15,Customer Service,DE,7.0,11.448,10.85,-6.564,holiday_rebound,understaffing_risk,high,6.564,Required staffing exceeds available capacity.
2026-02-02,10:45,Customer Service,DE,15.0,11.518,9.542,-6.53,billing_cycle,understaffing_risk,high,6.53,Required staffing exceeds available capacity.
2026-06-08,13:15,Customer Service,DE,13.0,9.966,9.736,-6.493,,understaffing_risk,high,6.493,Required staffing exceeds available capacity.
2026-02-02,09:45,Customer Service,DE,14.0,11.434,11.61,-6.48,billing_cycle,understaffing_risk,high,6.48,Required staffing exceeds available capacity.
2026-05-06,10:45,Customer Service,DE,3.0,7.712,22.341,-1.876,,partner_forecast_deviation,high,6.447,Partner forecast deviated materially from actual offered calls.
2026-05-12,08:15,Customer Service,DE,6.0,10.202,12.318,-6.438,,understaffing_risk,high,6.438,Required staffing exceeds available capacity.
2026-03-11,08:00,Customer Service,DE,2.0,6.357,14.856,-2.014,,partner_forecast_deviation,high,6.428,Partner forecast deviated materially from actual offered calls.
2026-03-04,15:45,Sales,DE,2.0,4.392,14.835,0.647,,partner_forecast_deviation,high,6.4175,Partner forecast deviated materially from actual offered calls.
2026-05-12,08:30,Customer Service,IT,2.0,4.046,14.807,-1.885,,partner_forecast_deviation,high,6.4035,Partner forecast deviated materially from actual offered calls.
2026-02-02,09:00,Customer Service,DE,6.0,11.343,11.461,-6.401,billing_cycle,understaffing_risk,high,6.401,Required staffing exceeds available capacity.
2026-02-02,08:15,Customer Service,DE,10.0,9.765,9.425,-6.399,billing_cycle,understaffing_risk,high,6.399,Required staffing exceeds available capacity.
2026-02-02,15:00,Customer Service,DE,4.0,11.316,11.434,-6.393,billing_cycle,understaffing_risk,high,6.393,Required staffing exceeds available capacity.
2026-05-05,11:00,Sales,DE,2.0,4.899,14.644,-0.62,,partner_forecast_deviation,high,6.322,Partner forecast deviated materially from actual offered calls.
2026-03-03,15:15,Customer Service,DE,10.0,11.022,9.732,-6.277,holiday_rebound,understaffing_risk,high,6.277,Required staffing exceeds available capacity.
2026-05-04,10:45,Sales,DE,5.0,5.946,36.16,-2.185,,partner_forecast_deviation,high,6.232,Partner forecast deviated materially from actual offered calls.
2026-03-03,11:00,Customer Service,DE,20.0,12.299,15.929,-6.175,holiday_rebound,understaffing_risk,high,6.175,Required staffing exceeds available capacity.
2026-03-06,08:45,Sales,DE,2.0,3.712,14.283,-0.981,,partner_forecast_deviation,high,6.1415,Partner forecast deviated materially from actual offered calls.
2026-03-05,09:15,Sales,DE,2.0,4.218,14.166,-1.271,,partner_forecast_deviation,high,6.083,Partner forecast deviated materially from actual offered calls.
2026-03-09,09:00,Customer Service,DE,6.0,9.018,42.323,-3.688,,partner_forecast_deviation,high,6.0538,Partner forecast deviated materially from actual offered calls.
2026-05-13,10:15,Customer Service,FR,2.0,4.804,14.091,-1.343,,partner_forecast_deviation,high,6.0455,Partner forecast deviated materially from actual offered calls.
2026-05-04,16:00,Sales,FR,2.0,3.202,14.017,1.672,,partner_forecast_deviation,high,6.0085,Partner forecast deviated materially from actual offered calls.
2026-03-03,08:00,Customer Service,DE,13.0,9.071,8.698,-5.989,holiday_rebound,understaffing_risk,high,5.989,Required staffing exceeds available capacity.
2026-05-04,18:15,Customer Service,DE,10.0,11.024,12.018,-5.989,,understaffing_risk,high,5.989,Required staffing exceeds available capacity.
2026-03-09,14:30,Customer Service,FR,2.0,4.841,13.91,-1.356,,partner_forecast_deviation,high,5.955,Partner forecast deviated materially from actual offered calls.
2026-05-11,10:45,Customer Service,DE,12.0,11.012,32.243,-5.95,,understaffing_risk,high,5.95,Required staffing exceeds available capacity.
2026-03-09,13:45,Customer Service,FR,2.0,5.02,13.834,0.548,,partner_forecast_deviation,high,5.917,Partner forecast deviated materially from actual offered calls.
2026-05-14,17:45,Sales,DE,2.0,4.683,13.828,-1.513,,partner_forecast_deviation,high,5.914,Partner forecast deviated materially from actual offered calls.
2026-05-12,08:00,Customer Service,DE,10.0,9.335,10.688,-5.903,,understaffing_risk,high,5.903,Required staffing exceeds available capacity.
2026-05-11,12:30,Customer Service,DE,3.0,9.081,20.639,-3.731,,partner_forecast_deviation,high,5.8797,Partner forecast deviated materially from actual offered calls.
2026-05-11,08:45,Customer Service,DE,5.0,9.261,20.712,-5.843,,understaffing_risk,high,5.843,Required staffing exceeds available capacity.
2026-05-11,10:30,Customer Service,DE,9.0,10.729,25.497,-5.816,,understaffing_risk,high,5.816,Required staffing exceeds available capacity.
2026-03-03,11:30,Sales,DE,2.0,5.007,13.615,0.318,,partner_forecast_deviation,high,5.8075,Partner forecast deviated materially from actual offered calls.
2026-05-12,18:45,Customer Service,DE,2.0,8.286,13.56,-4.229,,partner_forecast_deviation,high,5.78,Partner forecast deviated materially from actual offered calls.
2026-02-02,10:15,Customer Service,DE,8.0,10.356,10.796,-5.757,billing_cycle,understaffing_risk,high,5.757,Required staffing exceeds available capacity.
2026-02-02,16:30,Customer Service,DE,8.0,13.412,28.281,-5.728,billing_cycle,understaffing_risk,high,5.728,Required staffing exceeds available capacity.
2026-02-02,08:00,Customer Service,DE,9.0,8.768,8.149,-5.723,billing_cycle,understaffing_risk,high,5.723,Required staffing exceeds available capacity.
2026-03-13,10:15,Customer Service,DE,4.0,7.661,26.887,-1.854,,partner_forecast_deviation,high,5.7218,Partner forecast deviated materially from actual offered calls.
2026-02-02,09:15,Customer Service,DE,7.0,10.212,10.422,-5.667,billing_cycle,understaffing_risk,high,5.667,Required staffing exceeds available capacity.
2026-03-06,11:00,Customer Service,DE,4.0,6.731,26.659,-2.268,,partner_forecast_deviation,high,5.6647,Partner forecast deviated materially from actual offered calls.
2026-03-13,15:15,Customer Service,FR,2.0,4.736,13.313,-1.306,,partner_forecast_deviation,high,5.6565,Partner forecast deviated materially from actual offered calls.
2026-03-09,12:00,Customer Service,DE,4.0,8.936,10.817,-5.641,,understaffing_risk,high,5.641,Required staffing exceeds available capacity.
2026-05-12,08:30,Customer Service,DE,11.0,8.91,26.67,-5.623,,understaffing_risk,high,5.623,Required staffing exceeds available capacity.
2026-05-12,08:45,Customer Service,DE,8.0,8.91,22.164,-5.621,,understaffing_risk,high,5.621,Required staffing exceeds available capacity.
2026-05-04,10:30,Customer Service,IT,2.0,4.757,13.222,0.771,,partner_forecast_deviation,high,5.611,Partner forecast deviated materially from actual offered calls.
2026-03-03,08:30,Customer Service,DE,12.0,8.495,8.089,-5.609,holiday_rebound,understaffing_risk,high,5.609,Required staffing exceeds available capacity.
2026-05-04,12:00,Customer Service,DE,7.0,8.864,16.112,-5.605,,understaffing_risk,high,5.605,Required staffing exceeds available capacity.
2026-05-11,15:00,Customer Service,DE,5.0,9.164,32.919,-4.783,,partner_forecast_deviation,high,5.5838,Partner forecast deviated materially from actual offered calls.
2026-05-11,08:30,Customer Service,DE,8.0,8.818,9.015,-5.579,,understaffing_risk,high,5.579,Required staffing exceeds available capacity.
2026-05-11,17:15,Customer Service,FR,2.0,5.108,13.126,0.511,,partner_forecast_deviation,high,5.563,Partner forecast deviated materially from actual offered calls.
2026-05-04,13:15,Customer Service,DE,12.0,10.363,12.999,-5.555,,understaffing_risk,high,5.555,Required staffing exceeds available capacity.
2026-05-04,12:30,Customer Service,DE,8.0,10.365,13.222,-5.554,,understaffing_risk,high,5.554,Required staffing exceeds available capacity.
2026-05-11,13:00,Customer Service,DE,6.0,8.89,23.492,-5.543,,understaffing_risk,high,5.543,Required staffing exceeds available capacity.
2026-03-09,11:30,Customer Service,DE,4.0,9.303,26.136,-2.868,,partner_forecast_deviation,high,5.534,Partner forecast deviated materially from actual offered calls.
2026-03-09,13:45,Sales,DE,2.0,4.96,13.034,-0.651,,partner_forecast_deviation,high,5.517,Partner forecast deviated materially from actual offered calls.
2026-03-04,17:15,Sales,DE,2.0,4.588,12.991,-0.458,,partner_forecast_deviation,high,5.4955,Partner forecast deviated materially from actual offered calls.
2026-05-05,12:00,Customer Service,DE,1.0,8.665,12.994,-5.479,,understaffing_risk,high,5.479,Required staffing exceeds available capacity.
2026-03-03,16:30,Customer Service,DE,12.0,12.737,15.367,-5.46,holiday_rebound,understaffing_risk,high,5.46,Required staffing exceeds available capacity.
2026-02-03,13:00,Sales,DE,2.0,4.212,12.863,-0.228,,partner_forecast_deviation,high,5.4315,Partner forecast deviated materially from actual offered calls.
2026-05-08,16:15,Sales,DE,3.0,3.929,19.266,-1.107,,partner_forecast_deviation,high,5.422,Partner forecast deviated materially from actual offered calls.
2026-02-09,17:00,Customer Service,DE,13.0,10.177,12.163,-5.419,,understaffing_risk,high,5.419,Required staffing exceeds available capacity.
2026-02-03,08:30,Customer Service,DE,6.0,8.532,9.478,-5.395,,understaffing_risk,high,5.395,Required staffing exceeds available capacity.
2026-02-04,17:45,Customer Service,DE,3.0,7.26,19.136,-1.615,,partner_forecast_deviation,high,5.3787,Partner forecast deviated materially from actual offered calls.
2026-05-14,11:30,Customer Service,DE,3.0,7.598,19.136,-1.827,,partner_forecast_deviation,high,5.3787,Partner forecast deviated materially from actual offered calls.
2026-02-03,08:45,Customer Service,DE,5.0,8.532,9.245,-5.365,,understaffing_risk,high,5.365,Required staffing exceeds available capacity.
2026-03-03,18:15,Customer Service,DE,9.0,11.135,11.098,-5.358,holiday_rebound,understaffing_risk,high,5.358,Required staffing exceeds available capacity.
2026-05-12,13:30,Customer Service,DE,9.0,10.061,11.681,-5.349,,understaffing_risk,high,5.349,Required staffing exceeds available capacity.
2026-05-09,15:15,Customer Service,DE,2.0,5.141,12.666,-2.254,,partner_forecast_deviation,high,5.333,Partner forecast deviated materially from actual offered calls.
2026-02-03,08:00,Customer Service,DE,6.0,8.415,19.746,-5.324,,understaffing_risk,high,5.324,Required staffing exceeds available capacity.
2026-03-11,12:30,Sales,DE,2.0,5.667,12.623,0.043,sales_offer,partner_forecast_deviation,high,5.3115,Partner forecast deviated materially from actual offered calls.
2026-05-01,08:30,Customer Service,DE,4.0,8.028,13.26,-5.288,billing_cycle,understaffing_risk,high,5.288,Required staffing exceeds available capacity.
2026-03-09,08:45,Customer Service,IT,2.0,4.201,12.566,0.03,,partner_forecast_deviation,high,5.283,Partner forecast deviated materially from actual offered calls.
2026-05-11,10:30,Customer Service,FR,2.0,5.864,12.5,-1.872,,partner_forecast_deviation,high,5.25,Partner forecast deviated materially from actual offered calls.
2026-03-10,19:00,Customer Service,DE,4.0,8.31,13.231,-5.247,,understaffing_risk,high,5.247,Required staffing exceeds available capacity.
2026-02-03,10:30,Customer Service,DE,3.0,9.778,14.722,-5.207,,understaffing_risk,high,5.207,Required staffing exceeds available capacity.
2026-05-13,08:15,Sales,DE,2.0,5.299,12.383,-0.842,,partner_forecast_deviation,high,5.1915,Partner forecast deviated materially from actual offered calls.
2026-02-02,09:30,Customer Service,DE,5.0,9.502,8.859,-5.188,billing_cycle,understaffing_risk,high,5.188,Required staffing exceeds available capacity.
2026-05-11,08:15,Customer Service,DE,6.0,8.196,8.285,-5.185,,understaffing_risk,high,5.185,Required staffing exceeds available capacity.
2026-03-04,08:30,Customer Service,DE,3.0,8.181,9.283,-5.173,,understaffing_risk,high,5.173,Required staffing exceeds available capacity.
2026-03-10,10:00,Customer Service,DE,11.0,9.753,9.344,-5.167,,understaffing_risk,high,5.167,Required staffing exceeds available capacity.
2026-05-05,08:00,Customer Service,IT,3.0,4.23,18.49,0.028,,partner_forecast_deviation,high,5.1633,Partner forecast deviated materially from actual offered calls.
2026-05-11,16:15,Customer Service,DE,11.0,9.761,12.398,-5.16,,understaffing_risk,high,5.16,Required staffing exceeds available capacity.
2026-05-11,09:45,Customer Service,DE,8.0,9.746,22.87,-5.151,,understaffing_risk,high,5.151,Required staffing exceeds available capacity.
2026-03-10,17:15,Customer Service,DE,10.0,9.739,11.771,-5.143,,understaffing_risk,high,5.143,Required staffing exceeds available capacity.
2026-03-12,10:00,Sales,DE,3.0,4.948,18.421,-1.645,,partner_forecast_deviation,high,5.1403,Partner forecast deviated materially from actual offered calls.
2026-05-04,17:15,Customer Service,DE,8.0,9.691,14.556,-5.128,,understaffing_risk,high,5.128,Required staffing exceeds available capacity.
2026-05-04,17:30,Customer Service,DE,6.0,9.691,14.502,-5.128,,understaffing_risk,high,5.128,Required staffing exceeds available capacity.
2026-05-04,18:00,Customer Service,DE,10.0,9.655,11.848,-5.105,,understaffing_risk,high,5.105,Required staffing exceeds available capacity.
2026-05-01,08:00,Customer Service,DE,9.0,7.724,14.439,-5.102,billing_cycle,understaffing_risk,high,5.102,Required staffing exceeds available capacity.
2026-02-09,19:45,Customer Service,DE,6.0,8.065,14.43,-5.087,,understaffing_risk,high,5.087,Required staffing exceeds available capacity.
2026-05-13,17:30,Sales,DE,2.0,5.299,12.161,-1.842,,partner_forecast_deviation,high,5.0805,Partner forecast deviated materially from actual offered calls.
2026-03-04,15:45,Customer Service,FR,2.0,4.6,12.16,-0.24,,partner_forecast_deviation,high,5.08,Partner forecast deviated materially from actual offered calls.
2026-03-13,18:45,Sales,DE,2.0,3.939,12.152,-0.118,,partner_forecast_deviation,high,5.076,Partner forecast deviated materially from actual offered calls.
2026-05-04,17:45,Customer Service,DE,10.0,9.601,14.712,-5.07,,understaffing_risk,high,5.07,Required staffing exceeds available capacity.
2026-03-09,08:45,Customer Service,DE,6.0,9.018,36.395,-3.675,,partner_forecast_deviation,high,5.0658,Partner forecast deviated materially from actual offered calls.
2026-03-12,13:45,Customer Service,DE,3.0,3.654,18.189,0.682,,partner_forecast_deviation,high,5.063,Partner forecast deviated materially from actual offered calls.
2026-02-03,09:00,Customer Service,DE,8.0,9.586,12.765,-5.058,,understaffing_risk,high,5.058,Required staffing exceeds available capacity.
2026-05-13,08:00,Customer Service,DE,10.0,7.977,16.873,-5.058,,understaffing_risk,high,5.058,Required staffing exceeds available capacity.
2026-02-06,09:15,Customer Service,DE,4.0,6.765,24.163,-3.292,,partner_forecast_deviation,high,5.0408,Partner forecast deviated materially from actual offered calls.
2026-05-04,12:15,Customer Service,DE,5.0,9.536,10.88,-5.035,,understaffing_risk,high,5.035,Required staffing exceeds available capacity.
2026-05-05,17:45,Customer Service,DE,10.0,9.533,12.739,-5.027,,understaffing_risk,high,5.027,Required staffing exceeds available capacity.
2026-05-12,13:15,Customer Service,DE,4.0,9.545,12.963,-5.026,,understaffing_risk,high,5.026,Required staffing exceeds available capacity.
2026-05-14,08:15,Customer Service,DE,6.0,7.919,10.195,-5.026,,understaffing_risk,high,5.026,Required staffing exceeds available capacity.
2026-03-04,08:15,Customer Service,DE,7.0,7.925,8.33,-5.011,,understaffing_risk,high,5.011,Required staffing exceeds available capacity.
2026-05-11,18:15,Customer Service,DE,2.0,9.475,28.66,-4.995,,understaffing_risk,high,4.995,Required staffing exceeds available capacity.
2026-05-01,15:30,Customer Service,DE,10.0,9.055,29.839,-4.994,billing_cycle,understaffing_risk,high,4.994,Required staffing exceeds available capacity.
2026-05-11,15:15,Customer Service,DE,20.0,9.502,13.305,-4.988,,understaffing_risk,high,4.988,Required staffing exceeds available capacity.
2026-05-14,11:00,Customer Service,FR,2.0,4.673,11.968,-0.268,,partner_forecast_deviation,high,4.984,Partner forecast deviated materially from actual offered calls.
2026-05-11,10:15,Customer Service,DE,11.0,9.493,27.426,-4.983,,understaffing_risk,high,4.983,Required staffing exceeds available capacity.
2026-02-13,17:30,Customer Service,DE,8.0,9.047,10.327,-4.978,holiday_rebound,understaffing_risk,high,4.978,Required staffing exceeds available capacity.
2026-02-04,08:15,Customer Service,DE,5.0,7.866,10.281,-4.975,,understaffing_risk,high,4.975,Required staffing exceeds available capacity.
2026-05-05,17:15,Customer Service,DE,13.0,9.447,11.571,-4.974,,understaffing_risk,high,4.974,Required staffing exceeds available capacity.
2026-03-09,08:15,Customer Service,EN,2.0,2.734,11.943,-0.491,,partner_forecast_deviation,high,4.9715,Partner forecast deviated materially from actual offered calls.
2026-05-11,11:00,Customer Service,DE,13.0,9.475,22.935,-4.971,,understaffing_risk,high,4.971,Required staffing exceeds available capacity.
2026-06-09,11:00,Customer Service,DE,6.0,9.071,3.2,-4.956,,understaffing_risk,high,4.956,Required staffing exceeds available capacity.
2026-05-04,17:00,Customer Service,DE,8.0,9.418,30.709,-4.955,,understaffing_risk,high,4.955,Required staffing exceeds available capacity.
2026-02-09,10:00,Customer Service,DE,11.0,9.425,34.879,-4.949,,understaffing_risk,high,4.949,Required staffing exceeds available capacity.
2026-03-13,08:30,Customer Service,FR,2.0,4.773,11.898,-1.324,,partner_forecast_deviation,high,4.949,Partner forecast deviated materially from actual offered calls.
2026-03-11,14:30,Sales,DE,2.0,5.375,11.897,0.195,sales_offer,partner_forecast_deviation,high,4.9485,Partner forecast deviated materially from actual offered calls.
2026-02-02,17:45,Customer Service,DE,11.0,12.048,15.311,-4.944,billing_cycle,understaffing_risk,high,4.944,Required staffing exceeds available capacity.
2026-05-05,16:30,Sales,DE,2.0,5.147,11.866,0.243,,partner_forecast_deviation,high,4.933,Partner forecast deviated materially from actual offered calls.
2026-02-02,11:15,Customer Service,DE,14.0,12.048,14.92,-4.92,billing_cycle,understaffing_risk,high,4.92,Required staffing exceeds available capacity.
2026-02-09,19:30,Sales,DE,2.0,4.118,11.815,-0.201,,partner_forecast_deviation,high,4.9075,Partner forecast deviated materially from actual offered calls.
2026-02-02,16:45,Customer Service,DE,10.0,12.187,14.408,-4.906,billing_cycle,understaffing_risk,high,4.906,Required staffing exceeds available capacity.
2026-05-11,15:30,Customer Service,DE,13.0,9.309,9.86,-4.906,,understaffing_risk,high,4.906,Required staffing exceeds available capacity.
2026-03-05,08:45,Customer Service,DE,9.0,7.779,8.685,-4.904,,understaffing_risk,high,4.904,Required staffing exceeds available capacity.
2026-05-11,09:30,Customer Service,DE,13.0,9.339,19.999,-4.894,,understaffing_risk,high,4.894,Required staffing exceeds available capacity.
2026-03-11,16:45,Customer Service,DE,5.0,8.487,29.458,-2.366,,partner_forecast_deviation,high,4.8916,Partner forecast deviated materially from actual offered calls.
2026-06-01,15:15,Customer Service,DE,18.0,10.25,2.54,-4.889,billing_cycle,understaffing_risk,high,4.889,Required staffing exceeds available capacity.
2026-05-11,09:15,Customer Service,DE,14.0,9.323,40.126,-4.879,,understaffing_risk,high,4.879,Required staffing exceeds available capacity.
2026-02-02,17:15,Customer Service,DE,15.0,12.089,19.158,-4.874,billing_cycle,understaffing_risk,high,4.874,Required staffing exceeds available capacity.
2026-05-11,13:30,Customer Service,DE,10.0,9.294,17.434,-4.865,,understaffing_risk,high,4.865,Required staffing exceeds available capacity.
2026-03-03,16:00,Customer Service,DE,20.0,11.832,16.426,-4.864,holiday_rebound,understaffing_risk,high,4.864,Required staffing exceeds available capacity.
2026-03-10,18:15,Customer Service,DE,6.0,9.248,9.702,-4.862,,understaffing_risk,high,4.862,Required staffing exceeds available capacity.
2026-03-09,19:30,Customer Service,DE,7.0,7.694,20.42,-4.853,,understaffing_risk,high,4.853,Required staffing exceeds available capacity.
2026-06-08,09:30,Customer Service,DE,14.0,10.5,10.472,-4.852,,understaffing_risk,high,4.852,Required staffing exceeds available capacity.
2026-05-11,09:00,Customer Service,DE,8.0,9.261,19.077,-4.845,,understaffing_risk,high,4.845,Required staffing exceeds available capacity.
2026-03-06,09:30,Customer Service,DE,2.0,6.694,11.679,-3.25,,partner_forecast_deviation,high,4.8395,Partner forecast deviated materially from actual offered calls.
2026-03-09,18:15,Customer Service,DE,9.0,9.224,23.872,-4.833,,understaffing_risk,high,4.833,Required staffing exceeds available capacity.
2026-02-09,19:15,Customer Service,DE,6.0,7.66,16.992,-4.831,,understaffing_risk,high,4.831,Required staffing exceeds available capacity.
2026-05-12,11:00,Customer Service,DE,7.0,9.253,15.747,-4.831,,understaffing_risk,high,4.831,Required staffing exceeds available capacity.
2026-05-11,18:45,Customer Service,DE,7.0,9.201,9.969,-4.821,,understaffing_risk,high,4.821,Required staffing exceeds available capacity.
2026-03-03,19:30,Customer Service,DE,7.0,10.257,11.308,-4.817,holiday_rebound,understaffing_risk,high,4.817,Required staffing exceeds available capacity.
2026-03-11,16:15,Sales,DE,2.0,6.057,11.61,-2.158,sales_offer,partner_forecast_deviation,high,4.805,Partner forecast deviated materially from actual offered calls.
