event_date,event_type,queue_scope,language_scope,demand_multiplier,aht_multiplier,is_department_closed,description,expected_impact
2025-11-03,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2025-11-03,public_holiday,ALL,ALL,0.0,1.0,True,Department closed for a simulated public holiday.,zero same-day demand
2025-11-04,holiday_rebound,Customer Service,ALL,1.35,1.05,False,Post-holiday support backlog and follow-up calls.,customer service spike
2025-11-11,sales_offer,Sales,ALL,1.42,0.97,False,Outbound offer and inbound response period for Sales.,sales conversion spike
2025-12-01,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2025-12-05,service_incident,Customer Service,ALL,1.28,1.11,False,Simulated system/service incident increases contacts and AHT.,high CS workload
2025-12-10,sales_offer,Sales,ALL,1.25,0.97,False,Outbound offer and inbound response period for Sales.,sales conversion spike
2026-01-01,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-02-02,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-02-12,public_holiday,ALL,ALL,0.0,1.0,True,Department closed for a simulated public holiday.,zero same-day demand
2026-02-13,holiday_rebound,Customer Service,ALL,1.35,1.05,False,Post-holiday support backlog and follow-up calls.,customer service spike
2026-03-02,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-03-02,public_holiday,ALL,ALL,0.0,1.0,True,Department closed for a simulated public holiday.,zero same-day demand
2026-03-03,holiday_rebound,Customer Service,ALL,1.35,1.05,False,Post-holiday support backlog and follow-up calls.,customer service spike
2026-03-11,sales_offer,Sales,ALL,1.25,0.97,False,Outbound offer and inbound response period for Sales.,sales conversion spike
2026-04-01,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-04-07,service_incident,Customer Service,ALL,1.28,1.11,False,Simulated system/service incident increases contacts and AHT.,high CS workload
2026-05-01,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-05-11,sales_offer,Sales,ALL,1.25,0.97,False,Outbound offer and inbound response period for Sales.,sales conversion spike
2026-06-01,billing_cycle,Customer Service,ALL,1.18,1.04,False,Monthly billing notifications increase service contacts.,moderate CS spike
2026-06-02,public_holiday,ALL,ALL,0.0,1.0,True,Department closed for a simulated public holiday.,zero same-day demand
2026-06-03,holiday_rebound,Customer Service,ALL,1.35,1.05,False,Post-holiday support backlog and follow-up calls.,customer service spike
